,0_to_0,0_to_1,0_to_2,0_to_3,0_to_4,0_to_5,0_to_6,0_to_7,0_to_8,0_to_9,0_to_10,0_to_11,0_to_12,0_to_13,0_to_14,1_to_0,1_to_1,1_to_2,1_to_3,1_to_4,1_to_5,1_to_6,1_to_7,1_to_8,1_to_9,1_to_10,1_to_11,1_to_12,1_to_13,1_to_14,2_to_0,2_to_1,2_to_2,2_to_3,2_to_4,2_to_5,2_to_6,2_to_7,2_to_8,2_to_9,2_to_10,2_to_11,2_to_12,2_to_13,2_to_14,3_to_0,3_to_1,3_to_2,3_to_3,3_to_4,3_to_5,3_to_6,3_to_7,3_to_8,3_to_9,3_to_10,3_to_11,3_to_12,3_to_13,3_to_14,4_to_0,4_to_1,4_to_2,4_to_3,4_to_4,4_to_5,4_to_6,4_to_7,4_to_8,4_to_9,4_to_10,4_to_11,4_to_12,4_to_13,4_to_14,5_to_0,5_to_1,5_to_2,5_to_3,5_to_4,5_to_5,5_to_6,5_to_7,5_to_8,5_to_9,5_to_10,5_to_11,5_to_12,5_to_13,5_to_14,6_to_0,6_to_1,6_to_2,6_to_3,6_to_4,6_to_5,6_to_6,6_to_7,6_to_8,6_to_9,6_to_10,6_to_11,6_to_12,6_to_13,6_to_14,7_to_0,7_to_1,7_to_2,7_to_3,7_to_4,7_to_5,7_to_6,7_to_7,7_to_8,7_to_9,7_to_10,7_to_11,7_to_12,7_to_13,7_to_14,8_to_0,8_to_1,8_to_2,8_to_3,8_to_4,8_to_5,8_to_6,8_to_7,8_to_8,8_to_9,8_to_10,8_to_11,8_to_12,8_to_13,8_to_14,9_to_0,9_to_1,9_to_2,9_to_3,9_to_4,9_to_5,9_to_6,9_to_7,9_to_8,9_to_9,9_to_10,9_to_11,9_to_12,9_to_13,9_to_14,10_to_0,10_to_1,10_to_2,10_to_3,10_to_4,10_to_5,10_to_6,10_to_7,10_to_8,10_to_9,10_to_10,10_to_11,10_to_12,10_to_13,10_to_14,11_to_0,11_to_1,11_to_2,11_to_3,11_to_4,11_to_5,11_to_6,11_to_7,11_to_8,11_to_9,11_to_10,11_to_11,11_to_12,11_to_13,11_to_14,12_to_0,12_to_1,12_to_2,12_to_3,12_to_4,12_to_5,12_to_6,12_to_7,12_to_8,12_to_9,12_to_10,12_to_11,12_to_12,12_to_13,12_to_14,13_to_0,13_to_1,13_to_2,13_to_3,13_to_4,13_to_5,13_to_6,13_to_7,13_to_8,13_to_9,13_to_10,13_to_11,13_to_12,13_to_13,13_to_14,14_to_0,14_to_1,14_to_2,14_to_3,14_to_4,14_to_5,14_to_6,14_to_7,14_to_8,14_to_9,14_to_10,14_to_11,14_to_12,14_to_13,14_to_14,group
2023-06-15_21-28-12_bf04_saliv,4423.0,109.0,3.0,0.0,33.0,0.0,0.0,0.0,27.0,0.0,32.0,1.0,0.0,13.0,36.0,48.0,3869.0,94.0,44.0,15.0,1.0,0.0,0.0,0.0,0.0,2.0,61.0,77.0,0.0,0.0,9.0,20.0,3620.0,10.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,6.0,1070.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,24.0,43.0,2.0,0.0,2262.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,30.0,14.0,0.0,0.0,43.0,1.0,0.0,1062.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2207.0,168.0,2.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2073.0,8.0,0.0,0.0,104.0,38.0,16.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,24.0,22.0,1399.0,0.0,3.0,8.0,14.0,2.0,8.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594.0,53.0,0.0,0.0,115.0,67.0,13.0,14.0,45.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,2444.0,7.0,3.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,74.0,0.0,13.0,0.0,0.0,1984.0,80.0,37.0,88.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,1.0,11.0,2470.0,saliv
2023-06-15_22-01-50_bf03_saliv,1924.0,53.0,1.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,2.0,4.0,26.0,12.0,2986.0,93.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,60.0,1.0,0.0,8.0,8.0,4263.0,4.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,13.0,1338.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,7.0,40.0,2.0,0.0,1878.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,42.0,9.0,0.0,0.0,79.0,7.0,0.0,3688.0,0.0,34.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1333.0,0.0,0.0,192.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,2.0,1532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,134.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1544.0,6.0,0.0,0.0,75.0,47.0,13.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,16.0,2194.0,0.0,4.0,22.0,22.0,0.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,27.0,0.0,0.0,77.0,60.0,14.0,17.0,59.0,0.0,1.0,0.0,0.0,0.0,30.0,6.0,2729.0,3.0,3.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,80.0,0.0,15.0,0.0,0.0,2165.0,50.0,16.0,92.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,1.0,8.0,2203.0,saliv
2023-06-20_15-41-01_bm03_saliv,581.0,27.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,1300.0,32.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,1.0,2.0,5.0,5578.0,2.0,2.0,155.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,156.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,162.0,11.0,0.0,11802.0,0.0,121.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,118.0,0.0,12725.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1534.0,3.0,0.0,0.0,22.0,26.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,122.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,207.0,saliv
2023-06-20_16-13-48_bm04_saliv,2019.0,47.0,1.0,0.0,19.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,3.0,4.0,30.0,17.0,2408.0,99.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,3.0,13.0,2.0,5826.0,6.0,16.0,160.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,423.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,8.0,63.0,4.0,0.0,1926.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,27.0,3.0,0.0,0.0,166.0,1.0,0.0,4963.0,0.0,129.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,128.0,0.0,8211.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,69.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1232.0,1.0,0.0,0.0,75.0,25.0,3.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,358.0,0.0,0.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1929.0,9.0,0.0,0.0,63.0,26.0,5.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1105.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,56.0,0.0,3.0,0.0,0.0,1399.0,42.0,18.0,50.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,34.0,3.0,0.0,0.0,5.0,1605.0,saliv
2023-06-20_17-21-51_bf02_saliv,3281.0,60.0,2.0,0.0,15.0,0.0,0.0,0.0,35.0,0.0,32.0,0.0,1.0,7.0,34.0,23.0,3001.0,97.0,68.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,49.0,0.0,2.0,8.0,6.0,4053.0,6.0,8.0,97.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,17.0,1338.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,16.0,55.0,1.0,0.0,2470.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,40.0,6.0,0.0,0.0,108.0,8.0,0.0,2847.0,2.0,51.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,2.0,227.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,54.0,1.0,2643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2131.0,164.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1960.0,3.0,0.0,0.0,78.0,55.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,24.0,12.0,921.0,0.0,2.0,9.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.0,13.0,0.0,0.0,86.0,40.0,8.0,9.0,66.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1633.0,4.0,10.0,7.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,59.0,0.0,9.0,0.0,0.0,2089.0,61.0,27.0,101.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,2.0,8.0,2245.0,saliv
2023-07-03_16-15-21_bm02_saliv,1342.0,25.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,10.0,19.0,14.0,1374.0,64.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,1.0,0.0,4.0,1.0,5183.0,5.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,333.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,32.0,5.0,0.0,1515.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,21.0,6.0,0.0,0.0,120.0,1.0,0.0,5395.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,0.0,11267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1528.0,0.0,0.0,0.0,97.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,502.0,0.0,0.0,11.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,3.0,0.0,0.0,38.0,12.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,725.0,4.0,4.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,69.0,0.0,3.0,0.0,0.0,2405.0,70.0,13.0,56.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,34.0,7.0,0.0,1.0,9.0,1663.0,saliv
2023-07-03_19-20-49_bf01_saliv,2619.0,64.0,1.0,0.0,11.0,0.0,0.0,0.0,13.0,0.0,42.0,0.0,3.0,9.0,29.0,24.0,3971.0,115.0,62.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,72.0,0.0,5.0,8.0,6.0,3475.0,10.0,6.0,84.0,0.0,0.0,0.0,0.0,0.0,2.0,109.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,23.0,2005.0,2.0,0.0,0.0,0.0,4.0,74.0,0.0,0.0,10.0,49.0,4.0,0.0,2119.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,36.0,10.0,0.0,0.0,85.0,20.0,0.0,2838.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.0,0.0,265.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,31.0,0.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.0,127.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1505.0,1.0,0.0,0.0,48.0,62.0,11.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,13.0,1379.0,0.0,3.0,10.0,21.0,0.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.0,20.0,0.0,0.0,88.0,77.0,8.0,19.0,63.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,2781.0,4.0,10.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,52.0,0.0,4.0,0.0,0.0,1401.0,49.0,29.0,103.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,5.0,8.0,2486.0,saliv
2023-06-20_19-10-38_bf04_k1iv,2286.0,51.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,39.0,0.0,10.0,9.0,24.0,18.0,3409.0,87.0,82.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,69.0,0.0,0.0,7.0,20.0,3619.0,25.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0,0.0,0.0,0.0,19.0,35.0,0.0,0.0,30.0,1910.0,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.0,11.0,36.0,2.0,0.0,1899.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0,28.0,6.0,0.0,0.0,52.0,27.0,0.0,1811.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1906.0,0.0,0.0,167.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,3.0,954.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3055.0,188.0,7.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2282.0,7.0,0.0,0.0,97.0,46.0,22.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,42.0,21.0,2483.0,0.0,7.0,22.0,24.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,8.0,0.0,0.0,63.0,90.0,20.0,24.0,47.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,3438.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,80.0,0.0,17.0,0.0,0.0,1982.0,53.0,34.0,53.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,11.0,37.0,0.0,2.0,1.0,1713.0,k1iv
2023-06-26_15-35-45_bf01_k1iv,3443.0,59.0,2.0,0.0,14.0,0.0,0.0,0.0,35.0,0.0,34.0,0.0,0.0,13.0,37.0,26.0,3606.0,95.0,57.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,72.0,0.0,1.0,8.0,8.0,3136.0,16.0,11.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,15.0,1479.0,2.0,0.0,0.0,0.0,3.0,59.0,0.0,0.0,20.0,51.0,1.0,0.0,2668.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,46.0,9.0,0.0,0.0,75.0,8.0,0.0,1853.0,0.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1473.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,25.0,2.0,1048.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3884.0,189.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2002.0,4.0,0.0,0.0,73.0,57.0,17.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,7.0,1004.0,0.0,5.0,4.0,10.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1704.0,17.0,0.0,0.0,77.0,72.0,3.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2337.0,7.0,4.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,72.0,0.0,5.0,0.0,0.0,1770.0,61.0,38.0,95.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,2.0,7.0,2403.0,k1iv
2023-06-26_19-00-05_bm02_k1iv,1702.0,33.0,2.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,4.0,10.0,32.0,13.0,2515.0,122.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,1.0,2.0,15.0,10.0,5061.0,1.0,26.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,7.0,259.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,62.0,3.0,0.0,2717.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,56.0,4.0,0.0,0.0,96.0,1.0,0.0,4373.0,1.0,48.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,3702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276.0,186.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2363.0,2.0,0.0,0.0,128.0,45.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,6.0,360.0,0.0,1.0,5.0,7.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1264.0,8.0,0.0,0.0,55.0,22.0,3.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1239.0,7.0,9.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,109.0,0.0,6.0,0.0,0.0,3620.0,79.0,9.0,88.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,23.0,2305.0,k1iv
