,module0,module1,module2,module3,module4,module5,module6,module7,module8,module9,module10,module11,module12,module13,module14,group
2023-06-15_21-28-12_bf04_saliv,0.12994444444444445,0.11697222222222223,0.1055,0.03166666666666667,0.06652777777777778,0.030972222222222224,0.03127777777777778,0.0037222222222222223,0.06647222222222222,0.06344444444444444,0.04163888888888889,0.102,0.07575,0.060083333333333336,0.07402777777777778,saliv
2023-06-15_22-01-50_bf03_saliv,0.057194444444444444,0.09058333333333334,0.12391666666666666,0.03983333333333333,0.05561111111111111,0.10586111111111111,0.042583333333333334,0.043583333333333335,0.044333333333333336,0.04736111111111111,0.06405555555555556,0.07161111111111111,0.08330555555555555,0.06452777777777778,0.06563888888888889,saliv
2023-06-20_15-41-01_bm03_saliv,0.017138888888888888,0.03847222222222222,0.1604722222222222,0.005277777777777778,0.009277777777777777,0.33611111111111114,0.0044444444444444444,0.35705555555555557,0.0006111111111111111,0.0014722222222222222,0.0009166666666666666,0.043027777777777776,0.016027777777777776,0.0035833333333333333,0.006111111111111111,saliv
2023-06-20_16-13-48_bm04_saliv,0.059472222222222225,0.07222222222222222,0.16958333333333334,0.012833333333333334,0.05669444444444444,0.1461111111111111,0.012416666666666666,0.23172222222222222,0.012305555555555556,0.03722222222222222,0.01075,0.05397222222222222,0.034805555555555555,0.042,0.04788888888888889,saliv
2023-06-20_17-21-51_bf02_saliv,0.09630555555555556,0.09086111111111111,0.11905555555555555,0.03958333333333333,0.07238888888888889,0.08383333333333333,0.043583333333333335,0.07505555555555556,0.064,0.05975,0.02761111111111111,0.04663888888888889,0.05177777777777778,0.06216666666666667,0.06738888888888889,saliv
2023-07-03_16-15-21_bm02_saliv,0.03955555555555555,0.04172222222222222,0.1495277777777778,0.009916666666666667,0.044305555555555556,0.15588888888888888,0.009777777777777778,0.3156111111111111,0.012333333333333333,0.04611111111111111,0.014972222222222222,0.016416666666666666,0.022916666666666665,0.07105555555555555,0.04988888888888889,saliv
2023-07-03_19-20-49_bf01_saliv,0.07752777777777778,0.11916666666666667,0.10280555555555555,0.058916666666666666,0.06263888888888888,0.08272222222222222,0.06305555555555556,0.03797222222222222,0.06138888888888889,0.04625,0.04088888888888889,0.04475,0.08533333333333333,0.042194444444444444,0.0743888888888889,saliv
2023-06-20_19-10-38_bf04_k1iv,0.06786111111111111,0.10236111111111111,0.10608333333333334,0.057555555555555554,0.056,0.053,0.057833333333333334,0.027166666666666665,0.09061111111111111,0.0695,0.07336111111111111,0.024083333333333335,0.10291666666666667,0.05963888888888889,0.05202777777777778,k1iv
2023-06-26_15-35-45_bf01_k1iv,0.10102777777777777,0.10833333333333334,0.0925,0.043805555555555556,0.078,0.05455555555555556,0.042527777777777775,0.030027777777777778,0.11322222222222222,0.06127777777777778,0.02975,0.04816666666666667,0.07166666666666667,0.05341666666666667,0.07172222222222223,k1iv
2023-06-26_19-00-05_bm02_k1iv,0.050305555555555555,0.07597222222222222,0.14697222222222223,0.008027777777777778,0.07944444444444444,0.12563888888888888,0.007333333333333333,0.10416666666666667,0.06852777777777778,0.07238888888888889,0.010888888888888889,0.035472222222222224,0.03877777777777778,0.10697222222222222,0.06911111111111111,k1iv
2023-06-27_10-47-10_bm04_k1iv,0.01588888888888889,0.034444444444444444,0.10130555555555555,0.026194444444444444,0.01375,0.06052777777777778,0.025916666666666668,0.6323611111111112,0.005138888888888889,0.010333333333333333,0.00575,0.022333333333333334,0.011222222222222222,0.01575,0.019083333333333334,k1iv
2023-07-08_14-42-24_bf02_k1iv,0.10061111111111111,0.09725,0.06697222222222222,0.026111111111111113,0.09708333333333333,0.06377777777777778,0.02675,0.027305555555555555,0.08572222222222223,0.0661111111111111,0.034472222222222224,0.05311111111111111,0.07383333333333333,0.09572222222222222,0.08516666666666667,k1iv
